id,name,category,year,parts,raw_price,mean_price
75002-1,AT-RT,Star Wars,2013,222,"['\n$21.58\n', '\n$21.58\n']",21.58
7657-1,AT-ST,Star Wars,2007,243,[],0
30054-1,AT-ST,Star Wars,2011,46,"['\n$10.00\n', '\n$10.00\n']",10
911837-1,AT-ST,Star Wars,2018,48,"['\n$3.32\n', '\n$3.32\n']",3.32
30495-1,AT-ST,Star Wars,2022,79,"['\n$3.90\n', '\n$3.90\n']",3.9
75332-1,AT-ST,Star Wars,2022,87,"['\n$34.99\n', '\n$29.51\n', '\n$25.39\n', '\n$34.99\n', '\n$29.51\n', '\n$25.39\n']",29.96
9679-1,AT-ST & Endor,Star Wars,2012,65,"['\n$38.50\n', '\n$38.50\n']",38.5
75254-1,AT-ST Raider,Star Wars,2019,540,"['\n$38.99\n ', '\n$29.00\n', '\n$49.90\n', '\n$38.99\n', '\n$29.00\n', '\n$49.90\n']",39.3
912175-1,AT-ST Raider,Star Wars,2021,53,"['\n$6.58\n', '\n$3.23\n', '\n$6.58\n', '\n$3.23\n']",4.9
4486-1,AT-ST & Snowspeeder - Mini,Star Wars,2003,76,[],0
75153-1,AT-ST Walker,Star Wars,2016,449,"['\n$95.20\n', '\n$95.20\n']",95.2
75019-1,AT-TE,Star Wars,2013,794,"['\n$312.51\n', '\n$312.51\n']",312.51
4495-1,AT-TE - Mini,Star Wars,2004,63,[],0
7675-1,AT-TE Walker,Star Wars,2008,810,"['\n$659.99\n', '\n$659.99\n']",659.99
20009-1,AT-TE Walker,Star Wars,2009,94,"['\n$30.63\n', '\n$30.63\n']",30.63
75337-1,AT-TE Walker,Star Wars,2022,1089,"['\n$192.89\n', '\n$169.99\n', '\n$139.99\n', '\n$39.99\n', '\n$166.83\n', '\n$192.89\n', '\n$169.99\n', '\n$139.99\n', '\n$39.99\n', '\n$166.83\n']",141.94
911724-1,A-Wing,Star Wars,2017,47,[],0
912060-1,A-Wing,Star Wars,2020,44,"['\n$99.99\n', '\n$3.13\n', '\n$99.99\n', '\n$3.13\n']",51.56
7134-1,A-wing Fighter,Star Wars,2000,125,[],0
6207-1,A-wing Fighter,Star Wars,2006,194,"['\n$75.00\n', '\n$73.50\n', '\n$75.00\n', '\n$73.50\n']",74.25
75003-1,A-wing Starfighter,Star Wars,2013,177,"['\n$78.50\n', '\n$78.50\n']",78.5
30272-1,A-Wing Starfighter,Star Wars,2015,58,"['\n$6.84\n', '\n$6.84\n']",6.84
75175-1,A-Wing Starfighter,Star Wars,2017,358,[],0
75275-1,A-Wing Starfighter,Star Wars > Ultimate Collector Series,2020,1672,"['\n$277.99\n', '\n$329.79\n', '\n$277.99\n', '\n$329.79\n']",303.89
75196-1,A-Wing vs. TIE Silencer Microfighters,Star Wars,2018,188,"['\n$42.00\n', '\n$10.66\n', '\n$42.00\n', '\n$10.66\n']",26.33
75012-1,BARC Speeder with Sidecar,Star Wars,2013,226,[],0
7126-1,Battle Droid Carrier,Star Wars,2001,133,[],0
30004-1,Battle Droid on STAP,Star Wars,2009,28,[],0
75086-1,Battle Droid Troop Carrier,Star Wars,2015,565,"['\n$170.46\n', '\n$170.46\n']",170.46
7869-1,Battle for Geonosis,Star Wars,2011,335,[],0
40362-1,Battle of Endor - 20th Anniversary Edition,Star Wars,2019,197,"['\n$79.90\n', '\n$39.31\n', '\n$79.90\n', '\n$39.31\n']",59.6
75014-1,Battle Of Hoth,Star Wars,2013,421,"['\n$213.22\n', '\n$213.22\n']",213.22
40333-1,Battle of Hoth - 20th Anniversary Edition,Star Wars,2019,195,"['\n$44.99\n', '\n$43.18\n', '\n$44.99\n', '\n$43.18\n']",44.08
K10131-1,Battle of Yavin Collection,Star Wars,2004,0,[],0
75037-1,Battle on Saleucami,Star Wars,2014,178,"['\n$59.50\n', '\n$59.50\n']",59.5
75171-1,Battle on Scarif,Star Wars,2017,419,"['\n$119.00\n', '\n$119.00\n']",119
75139-1,Battle on Takodana,Star Wars,2016,405,"['\n$49.50\n', '\n$49.50\n']",49.5
66536-1,Battle Pack 2 in 1,Star Wars,2015,1,[],0
66535-1,Battle Pack 2 in 1,Star Wars,2015,1,[],0
5001137-1,Battle Pack Collection,Star Wars,2012,0,[],0
75525-1,Baze Malbus,Star Wars,2017,148,"['\n$18.00\n', '\n$18.00\n']",18
75187-1,BB-8,Star Wars,2017,1106,"['\n$200.00\n', '\n$200.00\n']",200
TRUBB8-1,BB-8,Star Wars,2017,39,[],0
40288-1,BB-8,Star Wars,2018,48,"['\n$28.99\n', '\n$28.99\n']",28.99
75335-1,BD-1,Star Wars,2022,1062,"['\n$99.99\n', '\n$74.95\n', '\n$99.99\n', '\n$138.78\n', '\n$76.45\n', '\n$99.99\n', '\n$74.95\n', '\n$99.99\n', '\n$138.78\n']",100.43
75294-1,Bespin Duel,Star Wars,2020,295,"['\n$209.94\n', '\n$149.99\n', '\n$149.00\n', '\n$209.94\n', '\n$149.99\n', '\n$149.00\n']",169.64
75222-1,Betrayal at Cloud City,Star Wars,2018,2812,"['\n$949.99\n', '\n$261.36\n', '\n$949.99\n', '\n$261.36\n']",605.68
75242-1,Black Ace TIE Interceptor,Star Wars,2019,396,"['\n$72.95\n', '\n$45.00\n', '\n$53.60\n', '\n$72.95\n', '\n$45.00\n', '\n$53.60\n']",57.18
75533-1,Boba Fett,Star Wars,2018,144,"['\n$119.75\n', '\n$89.99\n', '\n$119.75\n', '\n$89.99\n']",104.87
75277-1,Boba Fett,Star Wars,2020,625,"['\n$47.31\n ', '\n$59.99\n', '\n$69.00\n', '\n$47.31\n', '\n$59.99\n', '\n$69.00\n']",58.77
CELEBVI-1,Boba Fett's Mini Slave I,Star Wars,2012,81,[],0
6964-1,Boba Fett's Slave I - Mini (Kabaya Box),Star Wars,2004,25,[],0
6964-2,Boba Fett's Slave I - Mini (Polybag),Star Wars,2004,25,[],0
75312-1,Boba Fett’s Starship,Star Wars,2021,600,"['\n$38.00\n', '\n$49.99\n', '\n$54.00\n', '\n$38.00\n', '\n$49.99\n', '\n$54.00\n']",47.33
75326-1,Boba Fett's Throne Room,Star Wars,2022,732,"['\n$97.00\n', '\n$79.99\n', '\n$99.99\n', '\n$45.00\n', '\n$97.00\n', '\n$79.99\n', '\n$99.99\n', '\n$45.00\n']",80.5
20021-1,Bounty Hunter Assault Gunship,Star Wars,2011,81,[],0
7930-1,Bounty Hunter Gunship,Star Wars,2011,390,"['\n$192.00\n', '\n$192.00\n']",192
7133-1,Bounty Hunter Pursuit,Star Wars,2002,254,"['\n$230.06\n', '\n$230.06\n']",230.06
75167-1,Bounty Hunter Speeder Bike Battle Pack,Star Wars,2017,125,"['\n$39.67\n', '\n$39.67\n']",39.67
5004822-1,Buildable Figures Collection,Star Wars,2015,0,[],0
5001136-1,Buildable Galaxy Collection,Star Wars,2012,0,[],0
5001307-1,Buildable Galaxy Collection II,Star Wars,2012,0,[],0
75050-1,B-Wing,Star Wars,2014,448,"['\n$161.68\n', '\n$161.68\n']",161.68
911950-1,B-Wing,Star Wars,2019,52,"['\n$2.22\n', '\n$2.22\n']",2.22
6208-1,B-wing Fighter,Star Wars,2006,440,"['\n$208.13\n', '\n$188.00\n', '\n$208.13\n', '\n$188.00\n']",198.06
10227-1,B-wing Starfighter,Star Wars > Ultimate Collector Series,2012,1487,"['\n$452.28\n', '\n$452.28\n']",452.28
75010-1,B-wing Starfighter & Planet Endor,Star Wars,2013,83,[],0
5002948-1,C-3PO,Star Wars,2015,3,"['\n$9.05\n', '\n$9.05\n']",9.05
8128-1,Cad Bane's Speeder,Star Wars,2010,318,"['\n$244.00\n', '\n$244.00\n']",244
75118-1,Captain Phasma,Star Wars,2016,82,"['\n$39.99\n', '\n$39.99\n']",39.99
75157-1,Captain Rex’s AT-TE,Star Wars,2016,972,[],0
75137-1,Carbon-Freezing Chamber,Star Wars,2016,231,"['\n$54.50\n', '\n$54.50\n']",54.5
75530-1,Chewbacca,Star Wars,2017,179,[],0
