set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_price,pop_price,retire_month,category,return
60210,Sky Police Air Base,2019,529,5,225.51,4,4.4,69.37,125.36,21-Jan,City > Police,0.5559
60213,Dock Side Fire,2019,98,2,48.3,1,4.5,22.79,36.28,20-Dec,City > Fire,0.75114
60216,Downtown Fire Brigade,2019,943,7,289.95,5,4.7,102.37,164.22,21-Nov,City > Fire,0.56637
60217,Fire Plane,2019,363,1,112.74,1,4.7,46.78,107.52,20-Dec,City > Fire,0.9537
60222,Snow Groomer,2019,197,2,57.96,0,4.8,20.78,36.64,20-Dec,City,0.63216
60225,Rover Testing Drive,2019,202,2,57.96,0,4.7,30.18,58.95,21-Feb,City > Mars Exploration,1.01708
60227,Lunar Space Station,2019,412,5,144.96,4,4.7,52.63,103.98,20-Nov,City > Mars Exploration,0.7173
60232,Garage Center,2019,234,4,112.74,3,4.5,47.9,82.93,20-Dec,City,0.73559
60233,Donut Shop Opening,2019,790,10,257.73,8,4.8,89.52,167.4,21-Jan,City,0.64952
60234,People Pack - Fun Fair,2019,184,14,112.74,13,4.7,37.23,69.75,20-Dec,City,0.61868
70663,Spinjitzu Nya & Wu,2019,227,2,51.52,0,4.9,15.79,38.84,20-Jan,Ninjago,0.75388
70664,Spinjitzu Lloyd vs. Garmadon,2019,208,2,51.52,0,4.9,15.28,44.16,20-Jan,Ninjago,0.85714
70665,The Samurai Mech,2019,154,3,48.3,0,4.9,14.77,34.89,20-Dec,Ninjago,0.72236
70666,The Golden Dragon,2019,171,3,57.96,2,4.8,20.79,52.79,20-Nov,Ninjago,0.9108
70668,Jay's Storm Fighter,2019,490,4,112.74,0,4.8,44.26,104.56,20-Nov,Ninjago,0.92744
70670,Monastery of Spinjitzu,2019,1080,1,257.73,1,4.8,84.69,214.34,20-Nov,Ninjago,0.83165
70671,Lloyd's Journey,2019,82,2,41.86,1,4.7,13.73,39.13,20-Jul,Ninjago,0.93478
70672,Cole's Dirt Bike,2019,221,3,57.96,0,4.8,18.34,55.57,21-Jan,Ninjago,0.95876
70674,Fire Fang,2019,469,4,128.85,2,4.8,35.36,113.26,21-Feb,Ninjago,0.87901
70675,Katana 4x4,2019,461,5,144.96,2,4.7,49.87,88.44,20-Dec,Ninjago,0.6101
70678,Castle of the Forsaken Emperor,2019,1223,7,289.95,2,4.9,107.5,277.85,20-Dec,Ninjago,0.95827
70679,The Ultra Dragon,2019,952,6,257.73,0,4.8,96.08,216.03,20-Nov,Ninjago,0.8382
71044,Disney Train and Station,2019,2927,5,966.57,0,4.8,380.17,775.1,21-Dec,Disney,0.80191
75232,Kylo Ren & Sith Trooper,2019,240,0,57.96,0,4.9,19.31,40.33,20-Sep,Brickheadz,0.69582
75236,Duel on Starkiller Base,2019,191,2,57.96,1,4.8,18.11,44.84,20-Jun,Star Wars,0.77364
75237,TIE Fighter Attack,2019,77,2,57.96,0,4.8,21.57,59.04,20-May,Star Wars,1.01863
75240,Major Vonreg's TIE Fighter,2019,496,4,209.4,0,4.9,64.46,132.81,21-Jan,Star Wars,0.63424
75241,Action Battle Echo Base Defense,2019,504,6,177.18,4,4.6,56.73,90.72,20-Dec,Star Wars,0.51202
75242,Black Ace TIE Interceptor,2019,396,3,144.96,2,4.7,52.11,90.56,20-Dec,Star Wars,0.62472
75243,Slave I - 20th Anniversary Edition,2019,1007,6,354.39,3,4.9,123.27,309.12,20-Nov,Star Wars,0.87226
75244,Tantive IV,2019,1772,6,579.93,2,5.0,217.62,388.81,20-Dec,Star Wars,0.67044
75246,Death Star Cannon,2019,159,2,57.96,0,4.6,16.9,36.08,21-Dec,Star Wars,0.6225
75247,Rebel A-Wing Starfighter,2019,62,2,38.63,0,4.7,13.55,34.79,20-Jan,Star Wars,0.9006
75248,Resistance A-Wing Starfighter,2019,269,2,80.52,0,4.7,24.71,54.1,21-Mar,Star Wars,0.67188
75249,Resistance Y-Wing Starfighter,2019,578,5,193.29,3,4.7,58.95,108.49,21-Nov,Star Wars,0.56128
75250,Pasaana Speeder Chase,2019,373,4,144.96,2,4.6,32.91,63.11,21-Jul,Star Wars,0.43536
75253,Droid Commander,2019,1177,0,579.93,0,4.7,177.15,367.24,21-Feb,Star Wars,0.63325
75254,AT-ST Raider,2019,540,4,161.07,2,4.8,40.95,68.68,22-Mar,Star Wars,0.4264
75256,Kylo Ren's Shuttle,2019,1005,6,322.17,4,4.6,124.38,264.21,21-Nov,Star Wars,0.82009
75258,Anakin's Podracer - 20th Anniversary Edition,2019,279,3,80.52,2,4.8,32.48,58.64,21-Jan,Star Wars,0.72827
75261,Clone Scout Walker - 20th Anniversary Edition,2019,250,5,80.52,3,4.9,47.95,106.89,20-Apr,Star Wars,1.3275
75890,Ferrari F40 Competizione,2019,212,1,41.86,1,4.6,17.23,32.56,21-Sep,Speed Champions,0.77783
75892,McLaren Senna,2019,222,1,41.86,1,4.8,17.57,30.62,21-Aug,Speed Champions,0.73149
75893,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,2019,485,3,112.74,0,4.8,29.88,58.93,21-Jul,Speed Champions,0.52271
75894,1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,2019,496,4,144.96,0,4.8,40.28,90.74,20-Nov,Speed Champions,0.62597
75895,1974 Porsche 911 Turbo 3.0,2019,180,1,41.86,1,4.8,20.8,38.59,21-Jul,Speed Champions,0.92188
75934,Dilophosaurus on the Loose,2019,168,3,64.4,2,4.7,20.84,47.14,20-Nov,Jurassic World,0.73199
75936,Jurassic Park: T. rex Rampage,2019,3120,6,708.81,5,4.8,284.42,499.66,21-Oct,Jurassic World,0.70493
75937,Triceratops Rampage,2019,447,4,177.18,3,4.8,51.7,131.95,20-Nov,Jurassic World,0.74472
75938,T. rex vs Dino-Mech Battle,2019,716,4,257.73,2,4.8,93.19,263.79,21-Jan,Jurassic World,1.02351
75945,Expecto Patronum,2019,121,4,64.4,1,4.8,21.43,42.6,21-Jan,Harry Potter,0.66149
75946,Hungarian Horntail Triwizard Challenge,2019,265,4,96.62,0,4.8,28.53,63.45,20-Nov,Harry Potter,0.6567
75957,The Knight Bus,2019,403,3,112.74,2,4.8,46.23,81.76,22-Jan,Harry Potter,0.72521
75958,Beauxbatons' Carriage: Arrival at Hogwarts,2019,431,4,144.96,0,4.8,43.6,97.0,21-Jan,Harry Potter,0.66915
75965,The Rise of Voldemort,2019,186,6,64.4,0,4.9,24.05,52.34,21-Jan,Harry Potter,0.81273
76114,Spider-Man's Spider Crawler,2019,426,4,112.74,3,4.8,35.71,86.64,20-Nov,Super Heroes Marvel > Spider-Man,0.76849
76117,Batman Mech vs. Poison Ivy Mech,2019,394,4,112.74,0,4.8,36.11,79.73,20-Jan,Super Heroes DC > Batman,0.7072
76118,Mr. Freeze Batcycle Battle,2019,212,3,64.4,1,4.8,21.93,54.59,20-Jul,Super Heroes DC > Batman,0.84767
76119,Batmobile: Pursuit of The Joker,2019,352,2,80.52,0,4.9,28.88,76.54,21-Jan,Super Heroes DC > Batman,0.95057
76120,Batman Batwing and The Riddler Heist,2019,501,4,161.07,2,4.7,54.73,105.87,21-Jan,Super Heroes DC > Batman,0.65729
76122,Batcave Clayface Invasion,2019,1073,6,306.07,3,4.8,81.88,194.7,20-Dec,Super Heroes DC > Batman,0.63613
76124,War Machine Buster,2019,362,4,96.62,2,4.7,27.89,61.21,21-Jan,Super Heroes Marvel > Avengers,0.63351
76126,Avengers Ultimate Quinjet,2019,838,6,241.62,3,4.3,74.99,140.87,21-Jan,Super Heroes Marvel > Avengers,0.58302
76127,Captain Marvel and The Skrull Attack,2019,307,3,80.52,1,4.7,32.17,59.2,20-Oct,Super Heroes Marvel,0.73522
76128,Molten Man Battle,2019,302,3,80.52,2,4.8,26.28,57.22,20-Nov,Super Heroes Marvel > Spider-Man,0.71063
76129,Hydro-Man Attack,2019,479,4,112.74,3,4.6,30.31,63.67,20-Feb,Super Heroes Marvel > Spider-Man,0.56475
76130,Stark Jet and the Drone Attack,2019,504,4,177.18,1,4.7,60.32,123.8,20-Nov,Super Heroes Marvel > Spider-Man,0.69872
76134,Spider-Man: Doc Ock Diamond Heist,2019,151,3,80.52,2,4.6,23.17,49.65,20-Jan,Super Heroes Marvel > Spider-Man,0.61662
76138,Batman and The Joker Escape,2019,171,4,112.74,2,4.6,39.68,70.54,20-Jun,Super Heroes DC > Batman,0.62569
76144,Avengers Hulk Helicopter Rescue,2019,483,5,177.18,2,4.8,46.68,111.2,20-Oct,Super Heroes Marvel > Avengers,0.62761
10260,Downtown Diner,2018,2480,6,418.83,6,4.9,212.535,495.31,20-Nov,Modular Buildings,1.1826
10261,Roller Coaster,2018,4124,11,966.57,11,4.9,426.76,794.83,21-Nov,Creator > Creator Expert,0.82232
10268,Vestas Wind Turbine,2018,834,3,515.49,3,4.9,178.655,400.28,20-Nov,Creator > Creator Expert,0.7765
10712,Bricks and Gears,2018,244,0,57.96,0,4.6,18.73,41.43,20-Jan,Classic,0.7148
10717,Bricks Bricks Bricks,2018,1500,0,161.07,0,4.6,56.97,119.33,22-Mar,Classic,0.74086
21047,Las Vegas,2018,501,0,112.74,0,4.9,48.83,117.74,20-Nov,Architecture > Skylines,1.04435
21139,The Nether Fight,2018,84,3,41.86,0,4.7,13.825,37.12,18-Dec,Minecraft,0.88677
21140,The Chicken Coop,2018,198,1,64.4,0,4.7,22.585,56.0,20-Nov,Minecraft,0.86957
21141,The Zombie Cave,2018,241,3,64.4,1,4.7,22.22,46.91,20-Nov,Minecraft,0.72842
21144,The Farm Cottage,2018,549,3,209.4,0,4.8,59.875,131.11,18-Nov,Minecraft,0.62612
21145,The Skull Arena,2018,198,2,64.4,2,4.7,21.605,56.25,20-Jun,Minecraft,0.87345
