set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_price,pop_price,category,num_reviews,return
76103,Corvus Glaive Thresher Attack,2018,416,5,112.74,2,4.8,34.18,128.95,Super Heroes Marvel > Avengers,3.0,1.14378
76104,The Hulkbuster Smash-Up,2018,375,4,96.62,2,4.8,29.025,59.21,Super Heroes Marvel > Avengers,13.0,0.61281
76105,The Hulkbuster: Ultron Edition,2018,1363,1,386.61,1,4.9,125.455,267.4,Super Heroes Marvel > Avengers,52.0,0.69165
76107,Thanos: Ultimate Battle,2018,681,4,225.51,5,4.9,65.685,128.82,Super Heroes Marvel > Avengers,17.0,0.57124
10256,Taj Mahal,2017,5923,0,966.57,0,4.9,397.71,711.01,Creator > Creator Expert,43.0,0.7356
21032,Sydney,2017,361,0,96.62,0,5.0,30.455,78.32,Architecture > Skylines,7.0,0.8106
21033,Chicago,2017,444,0,144.96,0,4.9,42.515,103.12,Architecture > Skylines,11.0,0.71137
21035,Solomon R. Guggenheim Museum,2017,744,0,209.4,0,4.8,68.61,138.39,Architecture,14.0,0.66089
21036,Arc de Triomphe,2017,386,0,96.62,0,4.9,30.98,92.24,Architecture,14.0,0.95467
21129,The Mushroom Island,2017,247,2,64.4,0,4.8,19.77,36.96,Minecraft,5.0,0.57391
21130,The Nether Railway,2017,387,2,128.85,1,4.8,33.59,70.45,Minecraft,6.0,0.54676
21134,The Waterfall Base,2017,729,4,241.62,2,4.7,65.49,129.72,Minecraft,7.0,0.53688
21135,The Crafting Box 2.0,2017,717,2,257.73,1,4.8,68.685,178.82,Minecraft,1.0,0.69383
21136,The Ocean Monument,2017,1122,2,386.61,1,4.8,112.05,226.99,Minecraft,2.0,0.58713
21309,NASA Apollo Saturn V,2017,1969,0,354.39,0,4.7,112.375,241.47,LEGO Ideas and CUUSOO,367.0,0.68137
21312,Women of NASA,2017,231,4,64.4,4,4.7,27.1,45.75,LEGO Ideas and CUUSOO,33.0,0.7104
31063,Beachside Vacation,2017,275,2,64.4,2,4.3,21.695,48.45,Creator > Creator 3-in-1,5.0,0.75233
31064,Island Adventures,2017,359,1,64.4,1,4.3,33.54,42.54,Creator > Creator 3-in-1,2.0,0.66056
31066,Space Shuttle Explorer,2017,285,1,80.52,1,4.6,25.955,61.25,Creator > Creator 3-in-1,12.0,0.76068
31067,Modular Poolside Holiday,2017,356,2,64.4,2,4.6,21.595,54.09,Creator > Creator 3-in-1,8.0,0.83991
31068,Modular Modern Home,2017,386,2,90.18,2,4.6,29.26,53.05,Creator > Creator 3-in-1,10.0,0.58827
31069,Modular Family Villa,2017,728,3,144.96,3,4.7,64.36,119.59,Creator > Creator 3-in-1,11.0,0.82499
40171,Hedgehog Storage,2017,249,0,35.42,0,4.5,14.57,35.89,Friends,2.0,1.01327
41145,Ariel and the Magical Spell,2017,222,2,80.52,2,4.8,26.0,50.41,Disney Princess,2.0,0.62606
41146,Cinderella's Enchanted Evening,2017,351,2,128.85,2,4.4,41.17,67.65,Disney Princess,4.0,0.52503
41147,Anna's Snow Adventure,2017,153,1,64.4,1,4.3,19.13,34.26,Disney > Frozen,2.0,0.53199
41310,Heartlake Gift Delivery,2017,185,0,57.96,0,4.5,19.725,34.28,Friends,1.0,0.59144
41311,Heartlake Pizzeria,2017,305,0,80.52,0,4.6,29.27,54.68,Friends,7.0,0.67909
41312,Heartlake Sports Center,2017,328,0,128.85,0,4.6,40.53,65.92,Friends,3.0,0.5116
41313,Heartlake Summer Pool,2017,589,0,177.18,0,4.5,45.035,112.25,Friends,6.0,0.63354
41314,Stephanie's House,2017,640,0,209.4,0,4.6,64.085,216.69,Friends,8.0,1.03481
41316,Andrea's Speedboat Transporter,2017,309,0,80.52,0,4.4,23.995,53.68,Friends,1.0,0.66667
41317,Sunshine Catamaran,2017,603,0,209.4,0,4.2,73.84,121.5,Friends,2.0,0.58023
41318,Heartlake Hospital,2017,880,0,273.85,0,4.6,85.93,189.61,Friends,4.0,0.69239
41319,Snow Resort Hot Chocolate Van,2017,246,0,64.4,0,4.6,25.98,50.22,Friends,3.0,0.77981
41323,Snow Resort Chalet,2017,402,0,128.85,0,4.5,37.77,73.47,Friends,4.0,0.5702
41324,Snow Resort Ski Lift,2017,585,0,177.18,0,4.7,55.29,96.14,Friends,3.0,0.54261
42057,Ultralight Helicopter,2017,199,0,48.3,0,4.7,20.325,46.9,Technic,9.0,0.97101
42058,Stunt Bike,2017,140,0,57.96,0,4.7,18.19,43.75,Technic,2.0,0.75483
42059,Stunt Truck,2017,142,0,57.96,0,4.5,21.96,42.75,Technic,7.0,0.73758
42060,Roadwork Crew,2017,365,0,64.4,0,4.6,23.655,41.99,Technic,10.0,0.65202
42061,Telehandler,2017,260,0,80.52,0,4.4,31.04,59.88,Technic,6.0,0.74367
42062,Container Yard,2017,631,0,177.18,0,4.7,56.125,103.95,Technic,8.0,0.58669
42064,Ocean Explorer,2017,1327,0,241.62,0,4.7,131.79,232.43,Technic,14.0,0.96197
42065,RC Tracked Racer,2017,370,0,241.62,0,4.4,95.12,163.5,Technic,28.0,0.67668
