set_id    ,set_name_x                                                          ,release_year ,theme_id ,num_parts ,num_figs ,retail_price ,num_unique_figs ,set_rating ,retire_price ,pop_price ,retire_month ,year ,parts ,raw_price                                                                                                                ,mean_price ,category                                         ,ages   ,list_price          ,num_reviews ,piece_count ,play_star_rating ,review_difficulty ,set_name_y                                         ,star_rating ,theme_name                            ,val_star_rating ,country
75940     ,Gallimimus and Pteranodon Breakout                                  ,        2020 ,     602 ,      392 ,       3 ,       54.99 ,              0 ,       4.6 ,      41.78  ,   45.98  ,22-Mar       ,2020 ,  392 ,"['\n$52.94\n', '\n$45.99\n', '\n$64.95\n', '\n$52.94\n', '\n$45.99\n ', '\n$64.95\n']                                 " ,     54.63 ,Jurassic World                                   ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75941     ,Indominus rex vs. Ankylosaurus                                      ,        2020 ,     602 ,      537 ,       5 ,       89.99 ,              4 ,       4.7 ,     113.2   ,  117.13  ,21-Dec       ,2020 ,  537 ,"['\n$159.96\n', '\n$144.99\n', '\n$141.61\n', '\n$159.96\n', '\n$144.99\n', '\n$141.61\n']                            " ,    148.85 ,Jurassic World                                   ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75966     ,Hogwarts Room of Requirement                                        ,        2020 ,     246 ,      194 ,       4 ,       17.99 ,              0 ,       4.8 ,      22.0   ,   21.95  ,22-Mar       ,2020 ,  194 ,"['\n$29.99\n', '\n$19.99\n', '\n$23.00\n', '\n$29.99\n', '\n$19.99\n', '\n$23.00\n']                                  " ,     24.33 ,Harry Potter                                     ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75967     ,Forbidden Forest: Umbridge's Encounter                              ,        2020 ,     246 ,      254 ,       5 ,       24.99 ,              3 ,       4.7 ,      26.6   ,   26.71  ,22-Jan       ,2020 ,  254 ,"['\n$40.99\n', '\n$21.00\n', '\n$43.64\n', '\n$40.99\n', '\n$21.00\n', '\n$43.64\n']                                  " ,     35.21 ,Harry Potter                                     ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
76142     ,Avengers Speeder Bike Attack                                        ,        2020 ,     702 ,      251 ,       3 ,       19.99 ,              2 ,       4.7 ,      18.98  ,   25.1   ,21-Jan       ,2020 ,  251 ,"['\n$39.88\n', '\n$35.88\n', '\n$25.00\n', '\n$39.88\n', '\n$35.88\n', '\n$25.00\n']                                  " ,     33.59 ,Super Heroes Marvel > Avengers                   ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
76143     ,Avengers Truck Take-down                                            ,        2020 ,     702 ,      486 ,       4 ,       34.99 ,              3 ,       4.6 ,      31.38  ,   34.22  ,21-Oct       ,2020 ,  486 ,"['\n$46.16\n', '\n$41.99\n', '\n$39.99\n', '\n$46.16\n', '\n$41.99\n', '\n$39.99\n']                                  " ,     42.71 ,Super Heroes Marvel > Avengers                   ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
76147     ,Vulture's Trucker Robbery                                           ,        2020 ,     706 ,       93 ,       3 ,       19.99 ,              2 ,       4.7 ,      19.05  ,   24.43  ,21-Apr       ,2020 ,   93 ,"['\n$40.98\n', '\n$24.79\n', '\n$40.98\n', '\n$24.79\n']                                                              " ,     32.88 ,Super Heroes Marvel > Spider-Man                 ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
76148     ,Spider-Man vs. Doc Ock                                              ,        2020 ,     706 ,      242 ,       3 ,       19.99 ,              3 ,       4.9 ,      23.52  ,   29.77  ,21-Apr       ,2020 ,  242 ,"['\n$62.99\n', '\n$49.95\n', '\n$49.50\n', '\n$62.99\n', '\n$49.95\n', '\n$49.50\n']                                  " ,     54.15 ,Super Heroes Marvel > Spider-Man                 ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
76149     ,The Menace of Mysterio                                              ,        2020 ,     706 ,      163 ,       3 ,       29.99 ,              1 ,       4.7 ,      27.42  ,   31.41  ,21-Apr       ,2020 ,  163 ,"['\n$41.90\n', '\n$27.99\n', '\n$29.99\n', '\n$41.90\n', '\n$27.99\n', '\n$29.99\n']                                  " ,     33.29 ,Super Heroes Marvel > Spider-Man                 ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
76151     ,Venomosaurus Ambush                                                 ,        2020 ,     706 ,      648 ,       5 ,       74.99 ,              2 ,       4.7 ,      86.36  ,   93.49  ,21-Dec       ,2020 ,  648 ,"['\n$80.00\n', '\n$118.13\n', '\n$80.00\n', '\n$118.13\n']                                                            " ,     99.06 ,Super Heroes Marvel > Spider-Man                 ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
