set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,pop_price,category,return
21147,The Bedrock Adventures,2018,644,4,257.73,0,4.8,174.97,Minecraft,0.67889
21313,Ship in a Bottle,2018,962,0,225.51,0,4.8,147.61,LEGO Ideas and CUUSOO,0.65456
21314,TRON: Legacy,2018,230,3,96.62,3,4.7,77.83,LEGO Ideas and CUUSOO,0.80553
21315,Pop-Up Book,2018,859,5,193.29,5,4.8,125.79,LEGO Ideas and CUUSOO,0.65078
31073,Mythical Creatures,2018,223,0,41.86,0,4.8,39.02,Creator > Creator 3-in-1,0.93215
31075,Outback Adventures,2018,225,1,57.96,1,4.7,38.94,Creator > Creator 3-in-1,0.67184
31076,Daredevil Stunt Plane,2018,200,1,57.96,1,4.7,38.15,Creator > Creator 3-in-1,0.65821
31077,Modular Sweet Surprises,2018,396,3,112.74,3,4.4,70.79,Creator > Creator 3-in-1,0.6279
31078,Tree House Treasures,2018,260,2,96.62,2,4.8,69.06,Creator > Creator 3-in-1,0.71476
31079,Sunshine Surfer Van,2018,379,2,80.52,2,4.7,71.52,Creator > Creator 3-in-1,0.88823
31080,Modular Winter Vacation,2018,374,2,80.52,2,4.7,50.84,Creator > Creator 3-in-1,0.6314
31084,Pirate Roller Coaster,2018,923,5,225.51,4,4.8,216.6,Creator > Creator 3-in-1,0.96049
40274,Mr. Claus & Mrs. Claus,2018,341,0,57.96,0,4.6,49.36,Brickheadz,0.85162
41151,Mulan's Training Day,2018,104,1,41.86,1,4.4,22.18,Disney Princess,0.52986
41152,Sleeping Beauty's Fairytale Castle,2018,322,3,96.62,3,4.8,65.6,Disney Princess,0.67895
41153,Ariel's Royal Celebration Boat,2018,380,2,144.96,2,4.3,89.67,Disney Princess,0.61858
41155,Elsa's Market Adventure,2018,125,2,57.96,2,4.5,35.94,Disney > Frozen,0.62008
41156,Rapunzel's Castle Bedroom,2018,156,1,57.96,1,4.7,41.38,Disney Princess,0.71394
41157,Rapunzel's Travelling Caravan,2018,323,2,112.74,2,4.5,67.05,Disney Princess,0.59473
41332,Emma's Art Stand,2018,211,0,57.96,0,4.8,42.38,Friends,0.73119
41334,Andrea's Park Performance,2018,229,0,64.4,0,4.4,40.07,Friends,0.6222
